title,price,reviews,ratings
The Legend of Zelda: Tears of the Kingdom - Nintendo Switch (US Version),$61.99,4.9 out of 5 stars,"22,094 ratings"
Animal Crossing: New Horizons - Nintendo Switch,$54.00,4.8 out of 5 stars,"74,448 ratings"
Luigi's Mansion 3 - US Version,$51.00,4.8 out of 5 stars,"30,080 ratings"
Mario Party Superstars - US Version,$51.99,4.8 out of 5 stars,"15,224 ratings"
Minecraft - Nintendo Switch,$29.83,4.8 out of 5 stars,"43,857 ratings"
Super Mario Odyssey - US Version,$53.95,4.8 out of 5 stars,"34,177 ratings"
Kirby and the Forgotten Land - US Version,$56.00,4.8 out of 5 stars,"10,564 ratings"
Pokémon Legends: Arceus - US Version,$51.90,4.8 out of 5 stars,"25,975 ratings"
Pokémon Violet - US Version,$58.78,4.7 out of 5 stars,"8,418 ratings"
New Super Mario Bros. U Deluxe - US Version,$48.99,4.8 out of 5 stars,"24,074 ratings"
Luigi's Mansion 2 HD,$52.95,4.6 out of 5 stars,124 ratings
Paper Mario: The Thousand-Year Door,$52.75,4.8 out of 5 stars,356 ratings
NINTENDO Mario vs. Donkey Kong (Switch),$43.25,4.6 out of 5 stars,478 ratings
Super Mario Bros.™ Wonder - Nintendo Switch (US Version),$53.09,4.9 out of 5 stars,"8,277 ratings"
Super Smash Bros. Ultimate - US Version,$51.95,4.8 out of 5 stars,"70,975 ratings"
Mario Kart 8 Deluxe - US Version,$55.50,4.9 out of 5 stars,"73,937 ratings"
The Legend of Zelda: Tears of the Kingdom - Nintendo Switch (US Version),$61.99,4.9 out of 5 stars,"22,094 ratings"
Luigi's Mansion 3 - US Version,$51.00,4.8 out of 5 stars,"30,080 ratings"
Minecraft - Nintendo Switch,$29.83,4.8 out of 5 stars,"43,857 ratings"
Super Mario Odyssey - US Version,$53.95,4.8 out of 5 stars,"34,177 ratings"
Kirby and the Forgotten Land - US Version,$56.00,4.8 out of 5 stars,"10,564 ratings"
Mario Party Superstars - US Version,$51.99,4.8 out of 5 stars,"15,224 ratings"
Animal Crossing: New Horizons - Nintendo Switch,$54.00,4.8 out of 5 stars,"74,448 ratings"
Pokémon Legends: Arceus - US Version,$51.90,4.8 out of 5 stars,"25,975 ratings"
Pokémon Violet - US Version,$58.78,4.7 out of 5 stars,"8,418 ratings"
New Super Mario Bros. U Deluxe - US Version,$48.99,4.8 out of 5 stars,"24,074 ratings"
"Pokémon: Let's Go, Pikachu!",$46.49,4.8 out of 5 stars,"9,292 ratings"
Paper Mario: The Thousand-Year Door,$52.75,4.8 out of 5 stars,356 ratings
NBA 2K24 Kobe Bryant Edition - Nintendo Switch EU Version Region Free,$24.22,4.4 out of 5 stars,134 ratings
Super Mario Bros.™ Wonder - Nintendo Switch (US Version),$53.09,4.9 out of 5 stars,"8,277 ratings"
Super Smash Bros. Ultimate - US Version,$51.95,4.8 out of 5 stars,"70,975 ratings"
Mario Kart 8 Deluxe - US Version,$55.50,4.9 out of 5 stars,"73,937 ratings"
The Legend of Zelda: Tears of the Kingdom - Nintendo Switch (US Version),$61.99,4.9 out of 5 stars,"22,094 ratings"
Luigi's Mansion 3 - US Version,$51.00,4.8 out of 5 stars,"30,080 ratings"
Minecraft - Nintendo Switch,$29.83,4.8 out of 5 stars,"43,857 ratings"
Super Mario Odyssey - US Version,$53.95,4.8 out of 5 stars,"34,177 ratings"
Kirby and the Forgotten Land - US Version,$52.95,4.8 out of 5 stars,"10,564 ratings"
Mario Party Superstars - US Version,$51.99,4.8 out of 5 stars,"15,224 ratings"
Animal Crossing: New Horizons - Nintendo Switch,$54.00,4.8 out of 5 stars,"74,448 ratings"
Pokémon Legends: Arceus - US Version,$51.90,4.8 out of 5 stars,"25,975 ratings"
Pokémon Violet - US Version,$58.78,4.7 out of 5 stars,"8,418 ratings"
New Super Mario Bros. U Deluxe - US Version,$48.99,4.8 out of 5 stars,"24,074 ratings"
"Pokémon: Let's Go, Pikachu!",$46.49,4.8 out of 5 stars,"9,292 ratings"
Paper Mario: The Thousand-Year Door,$52.75,4.8 out of 5 stars,356 ratings
NBA 2K24 Kobe Bryant Edition - Nintendo Switch EU Version Region Free,$24.22,4.4 out of 5 stars,134 ratings
Super Smash Bros. Ultimate - US Version,$51.95,4.8 out of 5 stars,"70,975 ratings"
Super Mario Bros.™ Wonder - Nintendo Switch (US Version),$53.09,4.9 out of 5 stars,"8,277 ratings"
Mario Kart 8 Deluxe - US Version,$55.50,4.9 out of 5 stars,"73,937 ratings"
The Legend of Zelda: Tears of the Kingdom - Nintendo Switch (US Version),$61.99,4.9 out of 5 stars,"22,094 ratings"
Animal Crossing: New Horizons - Nintendo Switch,$54.00,4.8 out of 5 stars,"74,448 ratings"
Luigi's Mansion 3 - US Version,$51.00,4.8 out of 5 stars,"30,080 ratings"
Mario Party Superstars - US Version,$51.99,4.8 out of 5 stars,"15,224 ratings"
Minecraft - Nintendo Switch,$29.83,4.8 out of 5 stars,"43,857 ratings"
Super Mario Odyssey - US Version,$53.95,4.8 out of 5 stars,"34,177 ratings"
Kirby and the Forgotten Land - US Version,$52.95,4.8 out of 5 stars,"10,564 ratings"
Pokémon Legends: Arceus - US Version,$51.90,4.8 out of 5 stars,"25,975 ratings"
Pokémon Violet - US Version,$58.78,4.7 out of 5 stars,"8,418 ratings"
New Super Mario Bros. U Deluxe - US Version,$48.99,4.8 out of 5 stars,"24,074 ratings"
Luigi's Mansion 2 HD,$52.95,4.6 out of 5 stars,124 ratings
Paper Mario: The Thousand-Year Door,$52.75,4.8 out of 5 stars,356 ratings
NINTENDO Mario vs. Donkey Kong (Switch),$43.25,4.6 out of 5 stars,478 ratings
Super Smash Bros. Ultimate - US Version,$51.95,4.8 out of 5 stars,"70,975 ratings"
Super Mario Bros.™ Wonder - Nintendo Switch (US Version),$53.09,4.9 out of 5 stars,"8,277 ratings"
Mario Kart 8 Deluxe - US Version,$55.50,4.9 out of 5 stars,"73,937 ratings"
The Legend of Zelda: Tears of the Kingdom - Nintendo Switch (US Version),$61.99,4.9 out of 5 stars,"22,094 ratings"
Animal Crossing: New Horizons - Nintendo Switch,$54.00,4.8 out of 5 stars,"74,448 ratings"
Luigi's Mansion 3 - US Version,$51.00,4.8 out of 5 stars,"30,080 ratings"
Mario Party Superstars - US Version,$51.99,4.8 out of 5 stars,"15,224 ratings"
Minecraft - Nintendo Switch,$29.83,4.8 out of 5 stars,"43,857 ratings"
Super Mario Odyssey - US Version,$53.95,4.8 out of 5 stars,"34,177 ratings"
Kirby and the Forgotten Land - US Version,$52.95,4.8 out of 5 stars,"10,564 ratings"
Pokémon Legends: Arceus - US Version,$51.90,4.8 out of 5 stars,"25,975 ratings"
Pokémon Violet - US Version,$58.78,4.7 out of 5 stars,"8,418 ratings"
New Super Mario Bros. U Deluxe - US Version,$48.99,4.8 out of 5 stars,"24,074 ratings"
Luigi's Mansion 2 HD,$52.95,4.6 out of 5 stars,124 ratings
Paper Mario: The Thousand-Year Door,$52.75,4.8 out of 5 stars,356 ratings
NINTENDO Mario vs. Donkey Kong (Switch),$43.25,4.6 out of 5 stars,478 ratings
Super Mario Bros.™ Wonder - Nintendo Switch (US Version),$53.09,4.9 out of 5 stars,"8,277 ratings"
Super Smash Bros. Ultimate - US Version,$51.95,4.8 out of 5 stars,"70,975 ratings"
Mario Kart 8 Deluxe - US Version,$55.50,4.9 out of 5 stars,"73,937 ratings"
The Legend of Zelda: Tears of the Kingdom - Nintendo Switch (US Version),$61.99,4.9 out of 5 stars,"22,094 ratings"
Luigi's Mansion 3 - US Version,$51.00,4.8 out of 5 stars,"30,080 ratings"
Minecraft - Nintendo Switch,$29.83,4.8 out of 5 stars,"43,857 ratings"
Super Mario Odyssey - US Version,$53.95,4.8 out of 5 stars,"34,177 ratings"
Kirby and the Forgotten Land - US Version,$52.95,4.8 out of 5 stars,"10,564 ratings"
Mario Party Superstars - US Version,$51.99,4.8 out of 5 stars,"15,224 ratings"
Animal Crossing: New Horizons - Nintendo Switch,$54.00,4.8 out of 5 stars,"74,448 ratings"
Pokémon Legends: Arceus - US Version,$51.90,4.8 out of 5 stars,"25,975 ratings"
Pokémon Violet - US Version,$58.78,4.7 out of 5 stars,"8,418 ratings"
New Super Mario Bros. U Deluxe - US Version,$48.99,4.8 out of 5 stars,"24,074 ratings"
"Pokémon: Let's Go, Pikachu!",$46.49,4.8 out of 5 stars,"9,292 ratings"
Paper Mario: The Thousand-Year Door,$52.75,4.8 out of 5 stars,356 ratings
NBA 2K24 Kobe Bryant Edition - Nintendo Switch EU Version Region Free,$24.22,4.4 out of 5 stars,134 ratings
Super Mario Bros.™ Wonder - Nintendo Switch (US Version),$53.09,4.9 out of 5 stars,"8,277 ratings"
Super Smash Bros. Ultimate - US Version,$51.95,4.8 out of 5 stars,"70,975 ratings"
Mario Kart 8 Deluxe - US Version,$55.50,4.9 out of 5 stars,"73,937 ratings"
The Legend of Zelda: Tears of the Kingdom - Nintendo Switch (US Version),$61.99,4.9 out of 5 stars,"22,094 ratings"
Luigi's Mansion 3 - US Version,$51.00,4.8 out of 5 stars,"30,080 ratings"
Minecraft - Nintendo Switch,$29.83,4.8 out of 5 stars,"43,857 ratings"
Super Mario Odyssey - US Version,$53.95,4.8 out of 5 stars,"34,177 ratings"
Kirby and the Forgotten Land - US Version,$56.00,4.8 out of 5 stars,"10,564 ratings"
Mario Party Superstars - US Version,$51.99,4.8 out of 5 stars,"15,224 ratings"
Animal Crossing: New Horizons - Nintendo Switch,$54.00,4.8 out of 5 stars,"74,448 ratings"
Pokémon Legends: Arceus - US Version,$51.90,4.8 out of 5 stars,"25,975 ratings"
Pokémon Violet - US Version,$58.78,4.7 out of 5 stars,"8,418 ratings"
New Super Mario Bros. U Deluxe - US Version,$48.99,4.8 out of 5 stars,"24,074 ratings"
"Pokémon: Let's Go, Pikachu!",$46.49,4.8 out of 5 stars,"9,292 ratings"
Paper Mario: The Thousand-Year Door,$52.75,4.8 out of 5 stars,356 ratings
NBA 2K24 Kobe Bryant Edition - Nintendo Switch EU Version Region Free,$24.22,4.4 out of 5 stars,134 ratings
